;article_number;count
0;2;21
1;4;19
2;6;18
3;1;17
4;203;16
5;5;16
6;20;11
7;194;11
8;3;9
9;204;7
10;23;6
11;18;6
12;22;6
13;19;5
14;9;5
15;30;4
16;24;4
17;195;4
18;6o;3
19;14;3
20;17;2
21;2o;2
22;8;2
23;39;2
24;21;2
25;15;2
26;35;2
27;10;2
28;25;2
29;193;2
30;13;2
31;24-c;2
32;28;1
33;197;1
34;36;1
35;121;1
36;66;1
37;199;1
38;41;1
39;86;1
40;200;1
41;201;1
42;123;1
43;202;1
44;52;1
45;198;1
46;196;1
47;64;1
48;48;1
49;125;1
50;42;1
51;101;1
52;24-b;1
53;97;1
54;4o;1
55;12;1
56;6-a;1
57;34;1
58;60;1
59;119;1
60;226;1
61;120;1
62;26;1
63;133;1
64;1o;1
65;159;1
66;160;1
67;31;1
